number;EN;ES;ftu8;utf8;tag;unicode;native
254;woman office worker: dark skin tone;Trabajador de la oficina de la mujer: tono de piel oscuro;<ed><a0><bd><ed><b1><a9><ed><a0><bc><ed><bf><bf><e2><80><8d><ed><a0><bd><ed><b2><bc>;<f0><9f><91><a9><f0><9f><8f><bf><e2><80><8d><f0><9f><92><bc>;architect business dark skin tone manager office white-collar white-collar woman;U+1F469 U+1F3FF U+200D U+1F4BC;👩 🏿 ‍ 💼
255;man scientist;Hombre científico;<ed><a0><bd><ed><b1><a8><e2><80><8d><ed><a0><bd><ed><b4><ac>;<f0><9f><91><a8><e2><80><8d><f0><9f><94><ac>;biologist chemist engineer man mathematician physicist scientist;U+1F468 U+200D U+1F52C;👨 ‍ 🔬
256;man scientist: light skin tone;Hombre científico: tono de piel claro;<ed><a0><bd><ed><b1><a8><ed><a0><bc><ed><bf><bb><e2><80><8d><ed><a0><bd><ed><b4><ac>;<f0><9f><91><a8><f0><9f><8f><bb><e2><80><8d><f0><9f><94><ac>;biologist chemist engineer light skin tone man mathematician physicist scientist;U+1F468 U+1F3FB U+200D U+1F52C;👨 🏻 ‍ 🔬
257;man scientist: medium-light skin tone;Hombre científico: tono de piel de tono medio;<ed><a0><bd><ed><b1><a8><ed><a0><bc><ed><bf><bc><e2><80><8d><ed><a0><bd><ed><b4><ac>;<f0><9f><91><a8><f0><9f><8f><bc><e2><80><8d><f0><9f><94><ac>;biologist chemist engineer man mathematician medium-light_skin_tone medium-light skin tone physicist scientist;U+1F468 U+1F3FC U+200D U+1F52C;👨 🏼 ‍ 🔬
258;man scientist: medium skin tone;Hombre científico: tono de piel medio;<ed><a0><bd><ed><b1><a8><ed><a0><bc><ed><bf><bd><e2><80><8d><ed><a0><bd><ed><b4><ac>;<f0><9f><91><a8><f0><9f><8f><bd><e2><80><8d><f0><9f><94><ac>;biologist chemist engineer man mathematician medium skin tone physicist scientist;U+1F468 U+1F3FD U+200D U+1F52C;👨 🏽 ‍ 🔬
259;man scientist: medium-dark skin tone;Hombre científico: tono de piel medio-oscuro;<ed><a0><bd><ed><b1><a8><ed><a0><bc><ed><bf><be><e2><80><8d><ed><a0><bd><ed><b4><ac>;<f0><9f><91><a8><f0><9f><8f><be><e2><80><8d><f0><9f><94><ac>;biologist chemist engineer man mathematician medium-dark_skin_tone medium-dark skin tone physicist scientist;U+1F468 U+1F3FE U+200D U+1F52C;👨 🏾 ‍ 🔬
26;smirking face;Cara sonriente;<ed><a0><bd><ed><b8><8f>;<f0><9f><98><8f>;face smirk;U+1F60F;😏
260;man scientist: dark skin tone;Hombre científico: tono de piel oscuro;<ed><a0><bd><ed><b1><a8><ed><a0><bc><ed><bf><bf><e2><80><8d><ed><a0><bd><ed><b4><ac>;<f0><9f><91><a8><f0><9f><8f><bf><e2><80><8d><f0><9f><94><ac>;biologist chemist dark skin tone engineer man mathematician physicist scientist;U+1F468 U+1F3FF U+200D U+1F52C;👨 🏿 ‍ 🔬
261;woman scientist;Mujer científica;<ed><a0><bd><ed><b1><a9><e2><80><8d><ed><a0><bd><ed><b4><ac>;<f0><9f><91><a9><e2><80><8d><f0><9f><94><ac>;biologist chemist engineer mathematician physicist scientist woman;U+1F469 U+200D U+1F52C;👩 ‍ 🔬
262;woman scientist: light skin tone;Mujer científica: tono de piel claro;<ed><a0><bd><ed><b1><a9><ed><a0><bc><ed><bf><bb><e2><80><8d><ed><a0><bd><ed><b4><ac>;<f0><9f><91><a9><f0><9f><8f><bb><e2><80><8d><f0><9f><94><ac>;biologist chemist engineer light skin tone mathematician physicist scientist woman;U+1F469 U+1F3FB U+200D U+1F52C;👩 🏻 ‍ 🔬
263;woman scientist: medium-light skin tone;Mujer científica: tono de piel de tono medio;<ed><a0><bd><ed><b1><a9><ed><a0><bc><ed><bf><bc><e2><80><8d><ed><a0><bd><ed><b4><ac>;<f0><9f><91><a9><f0><9f><8f><bc><e2><80><8d><f0><9f><94><ac>;biologist chemist engineer mathematician medium-light_skin_tone medium-light skin tone physicist scientist woman;U+1F469 U+1F3FC U+200D U+1F52C;👩 🏼 ‍ 🔬
264;woman scientist: medium skin tone;Mujer científica: tono de piel medio;<ed><a0><bd><ed><b1><a9><ed><a0><bc><ed><bf><bd><e2><80><8d><ed><a0><bd><ed><b4><ac>;<f0><9f><91><a9><f0><9f><8f><bd><e2><80><8d><f0><9f><94><ac>;biologist chemist engineer mathematician medium skin tone physicist scientist woman;U+1F469 U+1F3FD U+200D U+1F52C;👩 🏽 ‍ 🔬
265;woman scientist: medium-dark skin tone;Mujer científica: tono medio-oscuro de la piel;<ed><a0><bd><ed><b1><a9><ed><a0><bc><ed><bf><be><e2><80><8d><ed><a0><bd><ed><b4><ac>;<f0><9f><91><a9><f0><9f><8f><be><e2><80><8d><f0><9f><94><ac>;biologist chemist engineer mathematician medium-dark_skin_tone medium-dark skin tone physicist scientist woman;U+1F469 U+1F3FE U+200D U+1F52C;👩 🏾 ‍ 🔬
266;woman scientist: dark skin tone;Mujer científica: tono de piel oscuro;<ed><a0><bd><ed><b1><a9><ed><a0><bc><ed><bf><bf><e2><80><8d><ed><a0><bd><ed><b4><ac>;<f0><9f><91><a9><f0><9f><8f><bf><e2><80><8d><f0><9f><94><ac>;biologist chemist dark skin tone engineer mathematician physicist scientist woman;U+1F469 U+1F3FF U+200D U+1F52C;👩 🏿 ‍ 🔬
267;man technologist;Tecnólogo;<ed><a0><bd><ed><b1><a8><e2><80><8d><ed><a0><bd><ed><b2><bb>;<f0><9f><91><a8><e2><80><8d><f0><9f><92><bb>;coder developer inventor man software technologist;U+1F468 U+200D U+1F4BB;👨 ‍ 💻
268;man technologist: light skin tone;Tecnólogo de hombre: tono de piel claro;<ed><a0><bd><ed><b1><a8><ed><a0><bc><ed><bf><bb><e2><80><8d><ed><a0><bd><ed><b2><bb>;<f0><9f><91><a8><f0><9f><8f><bb><e2><80><8d><f0><9f><92><bb>;coder developer inventor light skin tone man software technologist;U+1F468 U+1F3FB U+200D U+1F4BB;👨 🏻 ‍ 💻
269;man technologist: medium-light skin tone;Tecnólogo de hombre: tono de piel de tono medio;<ed><a0><bd><ed><b1><a8><ed><a0><bc><ed><bf><bc><e2><80><8d><ed><a0><bd><ed><b2><bb>;<f0><9f><91><a8><f0><9f><8f><bc><e2><80><8d><f0><9f><92><bb>;coder developer inventor man medium-light_skin_tone medium-light skin tone software technologist;U+1F468 U+1F3FC U+200D U+1F4BB;👨 🏼 ‍ 💻
27;persevering face;Cara perseverante;<ed><a0><bd><ed><b8><a3>;<f0><9f><98><a3>;face persevere;U+1F623;😣
270;man technologist: medium skin tone;Tecnólogo de hombre: tono de piel medio;<ed><a0><bd><ed><b1><a8><ed><a0><bc><ed><bf><bd><e2><80><8d><ed><a0><bd><ed><b2><bb>;<f0><9f><91><a8><f0><9f><8f><bd><e2><80><8d><f0><9f><92><bb>;coder developer inventor man medium skin tone software technologist;U+1F468 U+1F3FD U+200D U+1F4BB;👨 🏽 ‍ 💻
271;man technologist: medium-dark skin tone;Tecnólogo de hombre: tono de piel medio-oscuro;<ed><a0><bd><ed><b1><a8><ed><a0><bc><ed><bf><be><e2><80><8d><ed><a0><bd><ed><b2><bb>;<f0><9f><91><a8><f0><9f><8f><be><e2><80><8d><f0><9f><92><bb>;coder developer inventor man medium-dark_skin_tone medium-dark skin tone software technologist;U+1F468 U+1F3FE U+200D U+1F4BB;👨 🏾 ‍ 💻
272;man technologist: dark skin tone;Tecnólogo de hombre: tono de piel oscuro;<ed><a0><bd><ed><b1><a8><ed><a0><bc><ed><bf><bf><e2><80><8d><ed><a0><bd><ed><b2><bb>;<f0><9f><91><a8><f0><9f><8f><bf><e2><80><8d><f0><9f><92><bb>;coder dark skin tone developer inventor man software technologist;U+1F468 U+1F3FF U+200D U+1F4BB;👨 🏿 ‍ 💻
273;woman technologist;Tecnólogo;<ed><a0><bd><ed><b1><a9><e2><80><8d><ed><a0><bd><ed><b2><bb>;<f0><9f><91><a9><e2><80><8d><f0><9f><92><bb>;coder developer inventor software technologist woman;U+1F469 U+200D U+1F4BB;👩 ‍ 💻
274;woman technologist: light skin tone;Tecnóloga mujer: tono de piel claro;<ed><a0><bd><ed><b1><a9><ed><a0><bc><ed><bf><bb><e2><80><8d><ed><a0><bd><ed><b2><bb>;<f0><9f><91><a9><f0><9f><8f><bb><e2><80><8d><f0><9f><92><bb>;coder developer inventor light skin tone software technologist woman;U+1F469 U+1F3FB U+200D U+1F4BB;👩 🏻 ‍ 💻
275;woman technologist: medium-light skin tone;Tecnóloga mujer: tono de piel medio-claro;<ed><a0><bd><ed><b1><a9><ed><a0><bc><ed><bf><bc><e2><80><8d><ed><a0><bd><ed><b2><bb>;<f0><9f><91><a9><f0><9f><8f><bc><e2><80><8d><f0><9f><92><bb>;coder developer inventor medium-light_skin_tone medium-light skin tone software technologist woman;U+1F469 U+1F3FC U+200D U+1F4BB;👩 🏼 ‍ 💻
276;woman technologist: medium skin tone;Tecnóloga mujer: tono de piel medio;<ed><a0><bd><ed><b1><a9><ed><a0><bc><ed><bf><bd><e2><80><8d><ed><a0><bd><ed><b2><bb>;<f0><9f><91><a9><f0><9f><8f><bd><e2><80><8d><f0><9f><92><bb>;coder developer inventor medium skin tone software technologist woman;U+1F469 U+1F3FD U+200D U+1F4BB;👩 🏽 ‍ 💻
277;woman technologist: medium-dark skin tone;Tecnóloga mujer: tono de piel medio-oscuro;<ed><a0><bd><ed><b1><a9><ed><a0><bc><ed><bf><be><e2><80><8d><ed><a0><bd><ed><b2><bb>;<f0><9f><91><a9><f0><9f><8f><be><e2><80><8d><f0><9f><92><bb>;coder developer inventor medium-dark_skin_tone medium-dark skin tone software technologist woman;U+1F469 U+1F3FE U+200D U+1F4BB;👩 🏾 ‍ 💻
278;woman technologist: dark skin tone;Tecnóloga mujer: tono de piel oscuro;<ed><a0><bd><ed><b1><a9><ed><a0><bc><ed><bf><bf><e2><80><8d><ed><a0><bd><ed><b2><bb>;<f0><9f><91><a9><f0><9f><8f><bf><e2><80><8d><f0><9f><92><bb>;coder dark skin tone developer inventor software technologist woman;U+1F469 U+1F3FF U+200D U+1F4BB;👩 🏿 ‍ 💻
279;man singer;Cantante;<ed><a0><bd><ed><b1><a8><e2><80><8d><ed><a0><bc><ed><be><a4>;<f0><9f><91><a8><e2><80><8d><f0><9f><8e><a4>;actor entertainer man rock singer star;U+1F468 U+200D U+1F3A4;👨 ‍ 🎤
28;disappointed but relieved face;Cara decepcionada pero aliviada;<ed><a0><bd><ed><b8><a5>;<f0><9f><98><a5>;disappointed face relieved whew;U+1F625;😥
280;man singer: light skin tone;Cantante: tono de piel claro;<ed><a0><bd><ed><b1><a8><ed><a0><bc><ed><bf><bb><e2><80><8d><ed><a0><bc><ed><be><a4>;<f0><9f><91><a8><f0><9f><8f><bb><e2><80><8d><f0><9f><8e><a4>;actor entertainer light skin tone man rock singer star;U+1F468 U+1F3FB U+200D U+1F3A4;👨 🏻 ‍ 🎤
281;man singer: medium-light skin tone;Hombre cantante: tono de piel de tono medio;<ed><a0><bd><ed><b1><a8><ed><a0><bc><ed><bf><bc><e2><80><8d><ed><a0><bc><ed><be><a4>;<f0><9f><91><a8><f0><9f><8f><bc><e2><80><8d><f0><9f><8e><a4>;actor entertainer man medium-light_skin_tone medium-light skin tone rock singer star;U+1F468 U+1F3FC U+200D U+1F3A4;👨 🏼 ‍ 🎤
282;man singer: medium skin tone;Hombre cantante: tono de piel medio;<ed><a0><bd><ed><b1><a8><ed><a0><bc><ed><bf><bd><e2><80><8d><ed><a0><bc><ed><be><a4>;<f0><9f><91><a8><f0><9f><8f><bd><e2><80><8d><f0><9f><8e><a4>;actor entertainer man medium skin tone rock singer star;U+1F468 U+1F3FD U+200D U+1F3A4;👨 🏽 ‍ 🎤
283;man singer: medium-dark skin tone;Hombre cantante: tono de piel medio-oscuro;<ed><a0><bd><ed><b1><a8><ed><a0><bc><ed><bf><be><e2><80><8d><ed><a0><bc><ed><be><a4>;<f0><9f><91><a8><f0><9f><8f><be><e2><80><8d><f0><9f><8e><a4>;actor entertainer man medium-dark_skin_tone medium-dark skin tone rock singer star;U+1F468 U+1F3FE U+200D U+1F3A4;👨 🏾 ‍ 🎤
284;man singer: dark skin tone;Cantante: tono de piel oscuro;<ed><a0><bd><ed><b1><a8><ed><a0><bc><ed><bf><bf><e2><80><8d><ed><a0><bc><ed><be><a4>;<f0><9f><91><a8><f0><9f><8f><bf><e2><80><8d><f0><9f><8e><a4>;actor dark skin tone entertainer man rock singer star;U+1F468 U+1F3FF U+200D U+1F3A4;👨 🏿 ‍ 🎤
285;woman singer;Cantante;<ed><a0><bd><ed><b1><a9><e2><80><8d><ed><a0><bc><ed><be><a4>;<f0><9f><91><a9><e2><80><8d><f0><9f><8e><a4>;actor entertainer rock singer star woman;U+1F469 U+200D U+1F3A4;👩 ‍ 🎤
286;woman singer: light skin tone;Cantante: tono de piel claro;<ed><a0><bd><ed><b1><a9><ed><a0><bc><ed><bf><bb><e2><80><8d><ed><a0><bc><ed><be><a4>;<f0><9f><91><a9><f0><9f><8f><bb><e2><80><8d><f0><9f><8e><a4>;actor entertainer light skin tone rock singer star woman;U+1F469 U+1F3FB U+200D U+1F3A4;👩 🏻 ‍ 🎤
287;woman singer: medium-light skin tone;Cantante: tono de piel de tono medio;<ed><a0><bd><ed><b1><a9><ed><a0><bc><ed><bf><bc><e2><80><8d><ed><a0><bc><ed><be><a4>;<f0><9f><91><a9><f0><9f><8f><bc><e2><80><8d><f0><9f><8e><a4>;actor entertainer medium-light_skin_tone medium-light skin tone rock singer star woman;U+1F469 U+1F3FC U+200D U+1F3A4;👩 🏼 ‍ 🎤
288;woman singer: medium skin tone;Cantante: tono de piel medio;<ed><a0><bd><ed><b1><a9><ed><a0><bc><ed><bf><bd><e2><80><8d><ed><a0><bc><ed><be><a4>;<f0><9f><91><a9><f0><9f><8f><bd><e2><80><8d><f0><9f><8e><a4>;actor entertainer medium skin tone rock singer star woman;U+1F469 U+1F3FD U+200D U+1F3A4;👩 🏽 ‍ 🎤
289;woman singer: medium-dark skin tone;Cantante: tono de piel medio-oscuro;<ed><a0><bd><ed><b1><a9><ed><a0><bc><ed><bf><be><e2><80><8d><ed><a0><bc><ed><be><a4>;<f0><9f><91><a9><f0><9f><8f><be><e2><80><8d><f0><9f><8e><a4>;actor entertainer medium-dark_skin_tone medium-dark skin tone rock singer star woman;U+1F469 U+1F3FE U+200D U+1F3A4;👩 🏾 ‍ 🎤
29;face with open mouth;Cara con la boca abierta;<ed><a0><bd><ed><b8><ae>;<f0><9f><98><ae>;face mouth open sympathy;U+1F62E;😮
290;woman singer: dark skin tone;Cantante: tono de piel oscuro;<ed><a0><bd><ed><b1><a9><ed><a0><bc><ed><bf><bf><e2><80><8d><ed><a0><bc><ed><be><a4>;<f0><9f><91><a9><f0><9f><8f><bf><e2><80><8d><f0><9f><8e><a4>;actor dark skin tone entertainer rock singer star woman;U+1F469 U+1F3FF U+200D U+1F3A4;👩 🏿 ‍ 🎤
291;man artist;Artista del hombre;<ed><a0><bd><ed><b1><a8><e2><80><8d><ed><a0><bc><ed><be><a8>;<f0><9f><91><a8><e2><80><8d><f0><9f><8e><a8>;artist man palette;U+1F468 U+200D U+1F3A8;👨 ‍ 🎨
292;man artist: light skin tone;Artista del hombre: tono de piel ligero;<ed><a0><bd><ed><b1><a8><ed><a0><bc><ed><bf><bb><e2><80><8d><ed><a0><bc><ed><be><a8>;<f0><9f><91><a8><f0><9f><8f><bb><e2><80><8d><f0><9f><8e><a8>;artist light skin tone man palette;U+1F468 U+1F3FB U+200D U+1F3A8;👨 🏻 ‍ 🎨
293;man artist: medium-light skin tone;Artista del hombre: tono medio-claro de la piel;<ed><a0><bd><ed><b1><a8><ed><a0><bc><ed><bf><bc><e2><80><8d><ed><a0><bc><ed><be><a8>;<f0><9f><91><a8><f0><9f><8f><bc><e2><80><8d><f0><9f><8e><a8>;artist man medium-light_skin_tone medium-light skin tone palette;U+1F468 U+1F3FC U+200D U+1F3A8;👨 🏼 ‍ 🎨
294;man artist: medium skin tone;Hombre artista: tono de piel medio;<ed><a0><bd><ed><b1><a8><ed><a0><bc><ed><bf><bd><e2><80><8d><ed><a0><bc><ed><be><a8>;<f0><9f><91><a8><f0><9f><8f><bd><e2><80><8d><f0><9f><8e><a8>;artist man medium skin tone palette;U+1F468 U+1F3FD U+200D U+1F3A8;👨 🏽 ‍ 🎨
295;man artist: medium-dark skin tone;Artista del hombre: tono medio-oscuro de la piel;<ed><a0><bd><ed><b1><a8><ed><a0><bc><ed><bf><be><e2><80><8d><ed><a0><bc><ed><be><a8>;<f0><9f><91><a8><f0><9f><8f><be><e2><80><8d><f0><9f><8e><a8>;artist man medium-dark_skin_tone medium-dark skin tone palette;U+1F468 U+1F3FE U+200D U+1F3A8;👨 🏾 ‍ 🎨
296;man artist: dark skin tone;Artista del hombre: tono de piel oscuro;<ed><a0><bd><ed><b1><a8><ed><a0><bc><ed><bf><bf><e2><80><8d><ed><a0><bc><ed><be><a8>;<f0><9f><91><a8><f0><9f><8f><bf><e2><80><8d><f0><9f><8e><a8>;artist dark skin tone man palette;U+1F468 U+1F3FF U+200D U+1F3A8;👨 🏿 ‍ 🎨
297;woman artist;Mujer artista;<ed><a0><bd><ed><b1><a9><e2><80><8d><ed><a0><bc><ed><be><a8>;<f0><9f><91><a9><e2><80><8d><f0><9f><8e><a8>;artist palette woman;U+1F469 U+200D U+1F3A8;👩 ‍ 🎨
298;woman artist: light skin tone;Mujer artista: tono de piel claro;<ed><a0><bd><ed><b1><a9><ed><a0><bc><ed><bf><bb><e2><80><8d><ed><a0><bc><ed><be><a8>;<f0><9f><91><a9><f0><9f><8f><bb><e2><80><8d><f0><9f><8e><a8>;artist light skin tone palette woman;U+1F469 U+1F3FB U+200D U+1F3A8;👩 🏻 ‍ 🎨
299;woman artist: medium-light skin tone;Mujer artista: tono de piel de tono medio;<ed><a0><bd><ed><b1><a9><ed><a0><bc><ed><bf><bc><e2><80><8d><ed><a0><bc><ed><be><a8>;<f0><9f><91><a9><f0><9f><8f><bc><e2><80><8d><f0><9f><8e><a8>;artist medium-light_skin_tone medium-light skin tone palette woman;U+1F469 U+1F3FC U+200D U+1F3A8;👩 🏼 ‍ 🎨
3;face with tears of joy;Cara con lágrimas de alegría;<ed><a0><bd><ed><b8><82>;<f0><9f><98><82>;face joy laugh tear;U+1F602;😂
30;zipper-mouth face;Cremallera boca boca;<ed><a0><be><ed><b4><90>;<f0><9f><a4><90>;face mouth zipper;U+1F910;🤐
300;woman artist: medium skin tone;Mujer artista: tono de piel medio;<ed><a0><bd><ed><b1><a9><ed><a0><bc><ed><bf><bd><e2><80><8d><ed><a0><bc><ed><be><a8>;<f0><9f><91><a9><f0><9f><8f><bd><e2><80><8d><f0><9f><8e><a8>;artist medium skin tone palette woman;U+1F469 U+1F3FD U+200D U+1F3A8;👩 🏽 ‍ 🎨
301;woman artist: medium-dark skin tone;Mujer artista: tono de piel medio-oscuro;<ed><a0><bd><ed><b1><a9><ed><a0><bc><ed><bf><be><e2><80><8d><ed><a0><bc><ed><be><a8>;<f0><9f><91><a9><f0><9f><8f><be><e2><80><8d><f0><9f><8e><a8>;artist medium-dark_skin_tone medium-dark skin tone palette woman;U+1F469 U+1F3FE U+200D U+1F3A8;👩 🏾 ‍ 🎨
302;woman artist: dark skin tone;Mujer artista: tono de piel oscuro;<ed><a0><bd><ed><b1><a9><ed><a0><bc><ed><bf><bf><e2><80><8d><ed><a0><bc><ed><be><a8>;<f0><9f><91><a9><f0><9f><8f><bf><e2><80><8d><f0><9f><8e><a8>;artist dark skin tone palette woman;U+1F469 U+1F3FF U+200D U+1F3A8;👩 🏿 ‍ 🎨
303;man pilot;Hombre piloto;<ed><a0><bd><ed><b1><a8><e2><80><8d><e2><9c><88><ef><b8><8f>;<f0><9f><91><a8><e2><80><8d><e2><9c><88><ef><b8><8f>;man pilot plane;U+1F468 U+200D U+2708 U+FE0F;👨 ‍ ✈ ️
304;man pilot: light skin tone;Hombre piloto: piel clara;<ed><a0><bd><ed><b1><a8><ed><a0><bc><ed><bf><bb><e2><80><8d><e2><9c><88><ef><b8><8f>;<f0><9f><91><a8><f0><9f><8f><bb><e2><80><8d><e2><9c><88><ef><b8><8f>;light skin tone man pilot plane;U+1F468 U+1F3FB U+200D U+2708 U+FE0F;👨 🏻 ‍ ✈ ️
305;man pilot: medium-light skin tone;Piloto de hombre: tono de piel medio-claro;<ed><a0><bd><ed><b1><a8><ed><a0><bc><ed><bf><bc><e2><80><8d><e2><9c><88><ef><b8><8f>;<f0><9f><91><a8><f0><9f><8f><bc><e2><80><8d><e2><9c><88><ef><b8><8f>;man medium-light_skin_tone medium-light skin tone pilot plane;U+1F468 U+1F3FC U+200D U+2708 U+FE0F;👨 🏼 ‍ ✈ ️
306;man pilot: medium skin tone;Piloto de hombre: tono de piel medio;<ed><a0><bd><ed><b1><a8><ed><a0><bc><ed><bf><bd><e2><80><8d><e2><9c><88><ef><b8><8f>;<f0><9f><91><a8><f0><9f><8f><bd><e2><80><8d><e2><9c><88><ef><b8><8f>;man medium skin tone pilot plane;U+1F468 U+1F3FD U+200D U+2708 U+FE0F;👨 🏽 ‍ ✈ ️
307;man pilot: medium-dark skin tone;Hombre piloto: tono de piel medio-oscuro;<ed><a0><bd><ed><b1><a8><ed><a0><bc><ed><bf><be><e2><80><8d><e2><9c><88><ef><b8><8f>;<f0><9f><91><a8><f0><9f><8f><be><e2><80><8d><e2><9c><88><ef><b8><8f>;man medium-dark_skin_tone medium-dark skin tone pilot plane;U+1F468 U+1F3FE U+200D U+2708 U+FE0F;👨 🏾 ‍ ✈ ️
308;man pilot: dark skin tone;Hombre piloto: piel oscura;<ed><a0><bd><ed><b1><a8><ed><a0><bc><ed><bf><bf><e2><80><8d><e2><9c><88><ef><b8><8f>;<f0><9f><91><a8><f0><9f><8f><bf><e2><80><8d><e2><9c><88><ef><b8><8f>;dark skin tone man pilot plane;U+1F468 U+1F3FF U+200D U+2708 U+FE0F;👨 🏿 ‍ ✈ ️
309;woman pilot;Mujer piloto;<ed><a0><bd><ed><b1><a9><e2><80><8d><e2><9c><88><ef><b8><8f>;<f0><9f><91><a9><e2><80><8d><e2><9c><88><ef><b8><8f>;pilot plane woman;U+1F469 U+200D U+2708 U+FE0F;👩 ‍ ✈ ️
31;hushed face;Cara silenciosa;<ed><a0><bd><ed><b8><af>;<f0><9f><98><af>;face hushed stunned surprised;U+1F62F;😯
310;woman pilot: light skin tone;Mujer piloto: piel clara tono;<ed><a0><bd><ed><b1><a9><ed><a0><bc><ed><bf><bb><e2><80><8d><e2><9c><88><ef><b8><8f>;<f0><9f><91><a9><f0><9f><8f><bb><e2><80><8d><e2><9c><88><ef><b8><8f>;light skin tone pilot plane woman;U+1F469 U+1F3FB U+200D U+2708 U+FE0F;👩 🏻 ‍ ✈ ️
311;woman pilot: medium-light skin tone;Piloto de mujer: tono de piel medio-claro;<ed><a0><bd><ed><b1><a9><ed><a0><bc><ed><bf><bc><e2><80><8d><e2><9c><88><ef><b8><8f>;<f0><9f><91><a9><f0><9f><8f><bc><e2><80><8d><e2><9c><88><ef><b8><8f>;medium-light_skin_tone medium-light skin tone pilot plane woman;U+1F469 U+1F3FC U+200D U+2708 U+FE0F;👩 🏼 ‍ ✈ ️
312;woman pilot: medium skin tone;Mujer piloto: tono de piel medio;<ed><a0><bd><ed><b1><a9><ed><a0><bc><ed><bf><bd><e2><80><8d><e2><9c><88><ef><b8><8f>;<f0><9f><91><a9><f0><9f><8f><bd><e2><80><8d><e2><9c><88><ef><b8><8f>;medium skin tone pilot plane woman;U+1F469 U+1F3FD U+200D U+2708 U+FE0F;👩 🏽 ‍ ✈ ️
313;woman pilot: medium-dark skin tone;Mujer piloto: tono de piel medio-oscuro;<ed><a0><bd><ed><b1><a9><ed><a0><bc><ed><bf><be><e2><80><8d><e2><9c><88><ef><b8><8f>;<f0><9f><91><a9><f0><9f><8f><be><e2><80><8d><e2><9c><88><ef><b8><8f>;medium-dark_skin_tone medium-dark skin tone pilot plane woman;U+1F469 U+1F3FE U+200D U+2708 U+FE0F;👩 🏾 ‍ ✈ ️
314;woman pilot: dark skin tone;Mujer piloto: piel oscura;<ed><a0><bd><ed><b1><a9><ed><a0><bc><ed><bf><bf><e2><80><8d><e2><9c><88><ef><b8><8f>;<f0><9f><91><a9><f0><9f><8f><bf><e2><80><8d><e2><9c><88><ef><b8><8f>;dark skin tone pilot plane woman;U+1F469 U+1F3FF U+200D U+2708 U+FE0F;👩 🏿 ‍ ✈ ️
315;man astronaut;Hombre astronauta;<ed><a0><bd><ed><b1><a8><e2><80><8d><ed><a0><bd><ed><ba><80>;<f0><9f><91><a8><e2><80><8d><f0><9f><9a><80>;astronaut man rocket;U+1F468 U+200D U+1F680;👨 ‍ 🚀
316;man astronaut: light skin tone;Hombre astronauta: tono de piel claro;<ed><a0><bd><ed><b1><a8><ed><a0><bc><ed><bf><bb><e2><80><8d><ed><a0><bd><ed><ba><80>;<f0><9f><91><a8><f0><9f><8f><bb><e2><80><8d><f0><9f><9a><80>;astronaut light skin tone man rocket;U+1F468 U+1F3FB U+200D U+1F680;👨 🏻 ‍ 🚀
317;man astronaut: medium-light skin tone;Hombre astronauta: tono de piel medio-claro;<ed><a0><bd><ed><b1><a8><ed><a0><bc><ed><bf><bc><e2><80><8d><ed><a0><bd><ed><ba><80>;<f0><9f><91><a8><f0><9f><8f><bc><e2><80><8d><f0><9f><9a><80>;astronaut man medium-light_skin_tone medium-light skin tone rocket;U+1F468 U+1F3FC U+200D U+1F680;👨 🏼 ‍ 🚀
318;man astronaut: medium skin tone;Hombre astronauta: tono de piel medio;<ed><a0><bd><ed><b1><a8><ed><a0><bc><ed><bf><bd><e2><80><8d><ed><a0><bd><ed><ba><80>;<f0><9f><91><a8><f0><9f><8f><bd><e2><80><8d><f0><9f><9a><80>;astronaut man medium skin tone rocket;U+1F468 U+1F3FD U+200D U+1F680;👨 🏽 ‍ 🚀
319;man astronaut: medium-dark skin tone;Hombre astronauta: tono medio-oscuro de la piel;<ed><a0><bd><ed><b1><a8><ed><a0><bc><ed><bf><be><e2><80><8d><ed><a0><bd><ed><ba><80>;<f0><9f><91><a8><f0><9f><8f><be><e2><80><8d><f0><9f><9a><80>;astronaut man medium-dark_skin_tone medium-dark skin tone rocket;U+1F468 U+1F3FE U+200D U+1F680;👨 🏾 ‍ 🚀
32;sleepy face;cara somnolienta;<ed><a0><bd><ed><b8><aa>;<f0><9f><98><aa>;face sleep;U+1F62A;😪
320;man astronaut: dark skin tone;Hombre astronauta: tono de piel oscuro;<ed><a0><bd><ed><b1><a8><ed><a0><bc><ed><bf><bf><e2><80><8d><ed><a0><bd><ed><ba><80>;<f0><9f><91><a8><f0><9f><8f><bf><e2><80><8d><f0><9f><9a><80>;astronaut dark skin tone man rocket;U+1F468 U+1F3FF U+200D U+1F680;👨 🏿 ‍ 🚀
321;woman astronaut;Mujer astronauta;<ed><a0><bd><ed><b1><a9><e2><80><8d><ed><a0><bd><ed><ba><80>;<f0><9f><91><a9><e2><80><8d><f0><9f><9a><80>;astronaut rocket woman;U+1F469 U+200D U+1F680;👩 ‍ 🚀
322;woman astronaut: light skin tone;Mujer astronauta: tono de piel claro;<ed><a0><bd><ed><b1><a9><ed><a0><bc><ed><bf><bb><e2><80><8d><ed><a0><bd><ed><ba><80>;<f0><9f><91><a9><f0><9f><8f><bb><e2><80><8d><f0><9f><9a><80>;astronaut light skin tone rocket woman;U+1F469 U+1F3FB U+200D U+1F680;👩 🏻 ‍ 🚀
